number,value,datetime_start,datetime_complete,duration,params_exploration_fraction,params_gamma,params_learning_rate,params_target_update_interval,state
0,-12.3,2023-12-12 00:01:31.010268,2023-12-12 00:02:20.291658,0 days 00:00:49.281390,0.4603586410676048,0.906543164420804,2.7553027992676772e-05,1228,COMPLETE
1,-9.8,2023-12-12 00:02:20.299696,2023-12-12 00:03:09.772084,0 days 00:00:49.472388,0.16692272788174162,0.9040121238366061,2.709845784516074e-05,581,COMPLETE
2,-92.2,2023-12-12 00:03:09.782085,2023-12-12 00:03:58.708833,0 days 00:00:48.926748,0.18936066876492924,0.9954350572927937,0.0028231468208327554,851,COMPLETE
3,-120.6,2023-12-12 00:03:58.715835,2023-12-12 00:04:48.215922,0 days 00:00:49.500087,0.28588432354163895,0.9529025349807899,0.004234422869914465,1568,COMPLETE
4,-145.6,2023-12-12 00:04:48.225025,2023-12-12 00:05:38.455002,0 days 00:00:50.229977,0.24172510783481924,0.9336344375599611,7.88359428608556e-05,1008,COMPLETE
5,-197.1,2023-12-12 00:05:38.462003,2023-12-12 00:06:27.783157,0 days 00:00:49.321154,0.4470621493593824,0.9549901483757606,0.000292958889295377,1100,COMPLETE
6,-160.4,2023-12-12 00:06:27.791445,2023-12-12 00:07:17.172144,0 days 00:00:49.380699,0.1264987418986653,0.9669064275531293,0.00020664544285944346,849,COMPLETE
7,-185.6,2023-12-12 00:07:17.179184,2023-12-12 00:08:06.685158,0 days 00:00:49.505974,0.20901483539753452,0.9179965879454286,0.00020676279237859504,1336,COMPLETE
8,-10.1,2023-12-12 00:08:06.691159,2023-12-12 00:08:56.486861,0 days 00:00:49.795702,0.18704845745215418,0.9104568875307841,1.6648035206483762e-05,582,COMPLETE
9,-83.6,2023-12-12 00:08:56.494991,2023-12-12 00:09:45.784050,0 days 00:00:49.289059,0.24801805100233987,0.9301580331663208,0.0004510002568738835,638,COMPLETE
10,-151.6,2023-12-12 00:09:45.791054,2023-12-12 00:10:35.239495,0 days 00:00:49.448441,0.410910907107923,0.9713827068724885,0.0009907846992343787,1982,COMPLETE
11,-197.5,2023-12-12 00:10:35.251497,2023-12-12 00:11:24.726060,0 days 00:00:49.474563,0.374998880721758,0.9308914217392719,0.00014958243781807391,1498,COMPLETE
12,-162.8,2023-12-12 00:11:24.734141,2023-12-12 00:12:14.471657,0 days 00:00:49.737516,0.37527092902468573,0.9418785639045378,0.00012074086070578578,1664,COMPLETE
13,-113.6,2023-12-12 00:12:14.478700,2023-12-12 00:13:03.749807,0 days 00:00:49.271107,0.3536281818377355,0.9544422516095006,0.000533205239553676,1370,COMPLETE
