number,value,datetime_start,datetime_complete,duration,params_A2C_n_steps,params_gamma,params_learning_rate,params_vf_coef,state
0,-0.0,2023-12-12 05:18:56.215432,2023-12-12 05:20:22.311925,0 days 00:01:26.096493,42,0.9095204043677197,3.855834384166471e-05,0.49525876263643487,COMPLETE
1,-0.3,2023-12-12 05:20:22.320016,2023-12-12 05:21:40.239515,0 days 00:01:17.919499,249,0.9540799782057797,0.002033612575078834,0.46194957302543516,COMPLETE
2,-0.0,2023-12-12 05:21:40.246517,2023-12-12 05:23:00.002016,0 days 00:01:19.755499,127,0.9267986565536975,1.4514064420659872e-05,0.3464208605463722,COMPLETE
3,-0.8,2023-12-12 05:23:00.009062,2023-12-12 05:24:15.490640,0 days 00:01:15.481578,455,0.9937019043243762,0.0014271563160959818,0.18241848251254766,COMPLETE
4,-0.8,2023-12-12 05:24:15.498152,2023-12-12 05:25:56.230244,0 days 00:01:40.732092,16,0.9852885449571321,0.000440597467964979,0.2151268101645424,COMPLETE
5,-0.2,2023-12-12 05:25:56.238246,2023-12-12 05:27:11.998480,0 days 00:01:15.760234,400,0.9155902231213147,0.0021384414664970906,0.4642569707485249,COMPLETE
6,-0.0,2023-12-12 05:27:12.006483,2023-12-12 05:28:29.929550,0 days 00:01:17.923067,246,0.9858999027673061,2.847193792462688e-05,0.14973994185919604,COMPLETE
7,-0.0,2023-12-12 05:28:29.936551,2023-12-12 05:29:49.325865,0 days 00:01:19.389314,123,0.9046572632452338,1.0613395478794476e-05,0.24390539927821814,COMPLETE
8,-0.2,2023-12-12 05:29:49.334016,2023-12-12 05:31:07.962328,0 days 00:01:18.628312,214,0.9035659377484337,0.008863978180103515,0.11083952296095659,COMPLETE
9,-0.0,2023-12-12 05:31:07.968394,2023-12-12 05:33:01.158420,0 days 00:01:53.190026,10,0.9908180984718583,1.5165485704282286e-05,0.4391696846227483,COMPLETE
10,-0.0,2023-12-12 05:33:01.166422,2023-12-12 05:34:16.408126,0 days 00:01:15.241704,486,0.9670049737186727,0.0001552061559569356,0.3064003877522099,COMPLETE
11,-0.1,2023-12-12 05:34:16.417125,2023-12-12 05:35:33.112633,0 days 00:01:16.695508,374,0.9998015336964975,0.0005173703620051222,0.19797262620654457,COMPLETE
12,-0.0,2023-12-12 05:35:33.120715,2023-12-12 05:36:49.862730,0 days 00:01:16.742015,346,0.976873735057456,0.0003505543703246578,0.21566564975370414,COMPLETE
13,-0.3,2023-12-12 05:36:49.870734,2023-12-12 05:38:05.348855,0 days 00:01:15.478121,484,0.9988326185054964,0.0009107719097367947,0.1654074982678733,COMPLETE
14,-0.0,2023-12-12 05:38:05.356859,2023-12-12 05:39:22.080426,0 days 00:01:16.723567,325,0.975953460717833,0.00020750840922992877,0.26074550676416897,COMPLETE
