number,value,datetime_start,datetime_complete,duration,params_PPO_n_steps,params_ent_coef,params_gamma,params_learning_rate,state
0,-0.2,2023-12-12 01:24:35.292485,2023-12-12 01:26:58.346067,0 days 00:02:23.053582,128,7.132066615912981e-05,0.93125720958749,0.0002887985987263936,COMPLETE
1,-0.0,2023-12-12 01:26:58.355149,2023-12-12 01:29:17.708524,0 days 00:02:19.353375,832,0.07494880548147824,0.9008042471688228,1.6599399116576348e-05,COMPLETE
2,-0.6,2023-12-12 01:29:17.716526,2023-12-12 01:31:40.181135,0 days 00:02:22.464609,256,0.0008534220923051652,0.9012222667642509,0.00019054726622218414,COMPLETE
3,-0.8,2023-12-12 01:31:40.188696,2023-12-12 01:34:00.016853,0 days 00:02:19.828157,704,0.004580846831213818,0.9565772626163114,0.00032806793009944806,COMPLETE
4,-0.0,2023-12-12 01:34:00.025854,2023-12-12 01:36:21.783758,0 days 00:02:21.757904,320,2.8516653768288654e-05,0.9995115442669766,0.00036736628658424114,COMPLETE
5,-0.0,2023-12-12 01:36:21.790758,2023-12-12 01:38:46.038860,0 days 00:02:24.248102,64,0.00047824550174131904,0.9648313559486279,0.001581832671287424,COMPLETE
6,-0.3,2023-12-12 01:38:46.047371,2023-12-12 01:41:07.290147,0 days 00:02:21.242776,320,0.0013221865890414193,0.9325325705606307,0.0002107987508456834,COMPLETE
7,-0.2,2023-12-12 01:41:07.298150,2023-12-12 01:43:27.488880,0 days 00:02:20.190730,512,2.8244458751160323e-05,0.9427041469858078,0.0014074300391699209,COMPLETE
8,-0.2,2023-12-12 01:43:27.497882,2023-12-12 01:45:48.192299,0 days 00:02:20.694417,960,1.951310722679729e-05,0.9731675815598682,0.00030530080319375434,COMPLETE
9,-0.8,2023-12-12 01:45:48.199441,2023-12-12 01:48:07.015361,0 days 00:02:18.815920,896,1.2627599055295939e-05,0.9629868687845582,0.002200300881824226,COMPLETE
10,-0.4,2023-12-12 01:48:07.022496,2023-12-12 01:50:27.308579,0 days 00:02:20.286083,704,0.012707639647070187,0.9899963210916563,0.00955989765981493,COMPLETE
11,-0.6,2023-12-12 01:50:27.321582,2023-12-12 01:52:46.077568,0 days 00:02:18.755986,896,0.005169226472285081,0.956447435622129,0.009429054713734595,COMPLETE
12,-0.2,2023-12-12 01:52:46.085570,2023-12-12 01:55:06.293336,0 days 00:02:20.207766,704,0.0001512635832149793,0.9742726866821234,0.0018131784389741649,COMPLETE
13,-0.5,2023-12-12 01:55:06.301338,2023-12-12 01:57:25.352596,0 days 00:02:19.051258,896,1.2768817047874142e-05,0.9502571228084078,5.903417859525869e-05,COMPLETE
14,-0.1,2023-12-12 01:57:25.359649,2023-12-12 01:59:44.651495,0 days 00:02:19.291846,768,0.0001853932356544718,0.9801139473740181,0.0009783062557663998,COMPLETE
15,-0.7,2023-12-12 01:59:44.659566,2023-12-12 02:02:04.115462,0 days 00:02:19.455896,576,1.038998001905818e-05,0.9607064078940091,0.004106031285012791,COMPLETE
16,-0.6,2023-12-12 02:02:04.123620,2023-12-12 02:04:24.401867,0 days 00:02:20.278247,448,0.0031604178282590564,0.9657795559267441,0.0007030160025141771,COMPLETE
17,-0.7,2023-12-12 02:04:24.409871,2023-12-12 02:06:43.435503,0 days 00:02:19.025632,1024,0.0002590094665602404,0.9465994049978991,0.0028232196891073706,COMPLETE
18,-0.7,2023-12-12 02:06:43.444573,2023-12-12 02:09:06.467979,0 days 00:02:23.023406,192,8.64667722322544e-05,0.9825121995509919,0.00011476348397338676,COMPLETE
19,-0.3,2023-12-12 02:09:06.474979,2023-12-12 02:11:26.463524,0 days 00:02:19.988545,640,0.0004919316994007445,0.9561924621368527,0.0007514616053549808,COMPLETE
20,-0.5,2023-12-12 02:11:26.471525,2023-12-12 02:13:47.356702,0 days 00:02:20.885177,384,5.682963102186084e-05,0.9672695368957077,0.0006213463491609639,COMPLETE
21,-0.1,2023-12-12 02:13:47.365704,2023-12-12 02:16:08.525750,0 days 00:02:21.160046,576,1.2297471341566405e-05,0.9610431643618279,0.0036172642455504517,COMPLETE
22,-0.7,2023-12-12 02:16:08.532857,2023-12-12 02:18:27.735079,0 days 00:02:19.202222,576,1.176106524485025e-05,0.9561171741238048,0.0041875615564542406,COMPLETE
23,-0.5,2023-12-12 02:18:27.744082,2023-12-12 02:20:48.082335,0 days 00:02:20.338253,704,3.913971692860397e-05,0.9710161720668703,0.00486724556209305,COMPLETE
24,-0.5,2023-12-12 02:20:48.090338,2023-12-12 02:23:08.248911,0 days 00:02:20.158573,576,3.314832674064798e-05,0.9626130920078871,0.002125640444918544,COMPLETE
25,-0.6,2023-12-12 02:23:08.256915,2023-12-12 02:25:28.895063,0 days 00:02:20.638148,896,8.224573726798873e-05,0.9796718165823763,0.0011781308554275323,COMPLETE
26,-0.6,2023-12-12 02:25:28.902065,2023-12-12 02:27:49.189259,0 days 00:02:20.287194,448,1.0267348997324785e-05,0.9391837673747511,0.005403839740008985,COMPLETE
27,-0.5,2023-12-12 02:27:49.196261,2023-12-12 02:30:08.763443,0 days 00:02:19.567182,640,1.8971792763832128e-05,0.950934108826947,0.002619913666033092,COMPLETE
28,-0.6,2023-12-12 02:30:08.773446,2023-12-12 02:32:27.165342,0 days 00:02:18.391896,1024,4.551484888164621e-05,0.9581518740472171,0.0005931835089943707,COMPLETE
29,-0.0,2023-12-12 02:32:27.172851,2023-12-12 02:34:50.427890,0 days 00:02:23.255039,128,7.182248330048027e-05,0.949002280345364,0.0020610074542050587,COMPLETE
30,-0.8,2023-12-12 02:34:50.436891,2023-12-12 02:37:11.516466,0 days 00:02:21.079575,512,0.0001309244241474615,0.935250175493147,0.0062138254394202026,COMPLETE
31,-0.3,2023-12-12 02:37:11.524469,2023-12-12 02:39:32.272511,0 days 00:02:20.748042,512,2.3929003432003794e-05,0.9368294355921383,0.006541696008527604,COMPLETE
32,-0.7,2023-12-12 02:39:32.280559,2023-12-12 02:41:52.290390,0 days 00:02:20.009831,512,0.00010477859216723309,0.9270695186226418,0.0031342442963876002,COMPLETE
33,-0.1,2023-12-12 02:41:52.298393,2023-12-12 02:44:11.817998,0 days 00:02:19.519605,832,4.939785931928428e-05,0.9269109381756798,0.005784425621256775,COMPLETE
34,-0.6,2023-12-12 02:44:11.826044,2023-12-12 02:46:32.346391,0 days 00:02:20.520347,960,1.894146245433558e-05,0.9456267909164118,0.003533683010345784,COMPLETE
35,-0.0,2023-12-12 02:46:32.353426,2023-12-12 02:48:56.592086,0 days 00:02:24.238660,64,0.00011791033559507605,0.952820914193016,0.006741661130356769,COMPLETE
36,-0.7,2023-12-12 02:48:56.600089,2023-12-12 02:51:19.183309,0 days 00:02:22.583220,256,0.0002091631122153765,0.9617801777579309,0.0016069593824854158,COMPLETE
37,-0.1,2023-12-12 02:51:19.191314,2023-12-12 02:53:41.932629,0 days 00:02:22.741315,192,3.355194377741243e-05,0.9417308599867412,0.0004088821305961446,COMPLETE
38,-0.7,2023-12-12 02:53:41.941720,2023-12-12 02:56:02.988531,0 days 00:02:21.046811,512,0.0003148681541669474,0.9209878906071869,0.0011681370663797074,COMPLETE
39,-0.6,2023-12-12 02:56:02.996534,2023-12-12 02:58:22.890655,0 days 00:02:19.894121,768,5.572009312762791e-05,0.9690294874755708,0.0026942905605872474,COMPLETE
40,-0.0,2023-12-12 02:58:22.900801,2023-12-12 03:00:43.952232,0 days 00:02:21.051431,320,1.93140938394135e-05,0.9642715716314862,0.008366868289840165,COMPLETE
41,-0.5,2023-12-12 03:00:43.960297,2023-12-12 03:03:02.506425,0 days 00:02:18.546128,1024,0.000576340867131846,0.9447802606175951,0.004395590773699009,COMPLETE
42,-0.2,2023-12-12 03:03:02.515499,2023-12-12 03:05:21.883920,0 days 00:02:19.368421,1024,0.0002718287822950702,0.9472144412925643,0.0023110087476968166,COMPLETE
43,-0.0,2023-12-12 03:05:21.891922,2023-12-12 03:07:42.002516,0 days 00:02:20.110594,704,0.0013023865316069666,0.9545260417081818,0.003529549513577174,COMPLETE
44,-0.6,2023-12-12 03:07:42.011658,2023-12-12 03:10:00.898151,0 days 00:02:18.886493,896,0.00014908527286264012,0.9596562820750839,0.0014314608689492568,COMPLETE
