number,value,datetime_start,datetime_complete,duration,params_A2C_n_steps,params_gamma,params_learning_rate,params_vf_coef,state
0,200.0,2023-12-12 13:14:44.121882,2023-12-12 13:16:07.074707,0 days 00:01:22.952825,251,0.9417030446009774,0.0001977779014640064,0.38518085890024634,COMPLETE
1,200.0,2023-12-12 13:16:07.083708,2023-12-12 13:17:27.724175,0 days 00:01:20.640467,320,0.997305172119698,0.005816178654933175,0.1573082892969589,COMPLETE
2,200.0,2023-12-12 13:17:27.733178,2023-12-12 13:18:51.893965,0 days 00:01:24.160787,106,0.9411403995869735,0.0004885148002441984,0.2167669017417897,COMPLETE
3,200.0,2023-12-12 13:18:51.901970,2023-12-12 13:20:12.088525,0 days 00:01:20.186555,343,0.942185296844072,1.011240890351384e-05,0.3776767177576207,COMPLETE
4,200.0,2023-12-12 13:20:12.099528,2023-12-12 13:21:31.278026,0 days 00:01:19.178498,399,0.9081240280560445,0.0011630638283637868,0.3984701478123981,COMPLETE
5,200.0,2023-12-12 13:21:31.286027,2023-12-12 13:22:53.384481,0 days 00:01:22.098454,239,0.9412348235766015,0.0003395660329482015,0.41229758432368246,COMPLETE
6,200.0,2023-12-12 13:22:53.393483,2023-12-12 13:24:12.022009,0 days 00:01:18.628526,455,0.9431851862983226,0.00012653150009051174,0.3328874732419892,COMPLETE
7,200.0,2023-12-12 13:24:12.031012,2023-12-12 13:25:36.876739,0 days 00:01:24.845727,94,0.9665581469761985,7.345589982274548e-05,0.43668238405472304,COMPLETE
8,200.0,2023-12-12 13:25:36.884741,2023-12-12 13:26:57.683516,0 days 00:01:20.798775,318,0.9355344354899419,0.009319325696440695,0.18053080535554208,COMPLETE
9,200.0,2023-12-12 13:26:57.691518,2023-12-12 13:28:19.877141,0 days 00:01:22.185623,167,0.9399805019921889,2.1636744912410466e-05,0.17213311003462275,COMPLETE
10,200.0,2023-12-12 13:28:19.886144,2023-12-12 13:30:15.570639,0 days 00:01:55.684495,10,0.901113797892844,0.0014913804549739485,0.2863845707694571,COMPLETE
11,200.0,2023-12-12 13:30:15.580640,2023-12-12 13:31:37.631740,0 days 00:01:22.051100,254,0.9857571451963327,0.008944320892762786,0.1036702399798095,COMPLETE
12,200.0,2023-12-12 13:31:37.639741,2023-12-12 13:32:59.537460,0 days 00:01:21.897719,254,0.9910926055184173,0.0023002248498237014,0.4976605563310609,COMPLETE
13,200.0,2023-12-12 13:32:59.545461,2023-12-12 13:34:17.453662,0 days 00:01:17.908201,488,0.9661399121817417,0.00010245320714752311,0.27088979832740845,COMPLETE
14,200.0,2023-12-12 13:34:17.462665,2023-12-12 13:35:38.553060,0 days 00:01:21.090395,331,0.9949946015917658,0.0006693663751690358,0.3410017070694613,COMPLETE
15,200.0,2023-12-12 13:35:38.562063,2023-12-12 13:37:00.422518,0 days 00:01:21.860455,204,0.9766670265924688,0.003491083788587267,0.2588857274653523,COMPLETE
16,200.0,2023-12-12 13:37:00.431519,2023-12-12 13:38:19.757057,0 days 00:01:19.325538,391,0.9980244701115564,0.00024173713551382093,0.10546630879018865,COMPLETE
17,200.0,2023-12-12 13:38:19.766058,2023-12-12 13:39:40.854546,0 days 00:01:21.088488,292,0.9663111757605544,0.0040743407849247746,0.33366902121229214,COMPLETE
18,200.0,2023-12-12 13:39:40.862548,2023-12-12 13:41:03.496044,0 days 00:01:22.633496,164,0.9581743105538425,0.0007504360912238027,0.23496992638413738,COMPLETE
19,200.0,2023-12-12 13:41:03.504046,2023-12-12 13:42:22.892477,0 days 00:01:19.388431,385,0.9809069726629622,0.00023343703163463658,0.3084817780322855,COMPLETE
20,200.0,2023-12-12 13:42:22.901479,2023-12-12 13:43:41.675845,0 days 00:01:18.774366,436,0.9290875276507369,0.0012129396507573216,0.14486826792333177,COMPLETE
21,200.0,2023-12-12 13:43:41.683846,2023-12-12 13:45:06.650081,0 days 00:01:24.966235,104,0.9517988709812895,0.00048254847961451826,0.22268437255942528,COMPLETE
22,200.0,2023-12-12 13:45:06.661084,2023-12-12 13:46:43.744837,0 days 00:01:37.083753,22,0.9267388244423904,0.00041692530291900185,0.20547231131599003,COMPLETE
23,200.0,2023-12-12 13:46:43.752842,2023-12-12 13:48:08.815494,0 days 00:01:25.062652,79,0.9531459222287809,0.004944905737808545,0.2470255403530225,COMPLETE
24,200.0,2023-12-12 13:48:08.823499,2023-12-12 13:49:31.712546,0 days 00:01:22.889047,161,0.97527146016603,0.0021921517230564535,0.19971970106162867,COMPLETE
25,200.0,2023-12-12 13:49:31.766076,2023-12-12 13:50:52.818521,0 days 00:01:21.052445,293,0.9881613870884499,0.0008193854000828229,0.15582087517327542,COMPLETE
26,200.0,2023-12-12 13:50:52.826512,2023-12-12 13:52:14.444030,0 days 00:01:21.617518,220,0.9565216011984075,0.00016302550102699682,0.2177573437726195,COMPLETE
27,200.0,2023-12-12 13:52:14.452037,2023-12-12 13:53:37.239702,0 days 00:01:22.787665,136,0.9996060512330047,7.789108876516722e-05,0.2458216142895022,COMPLETE
28,200.0,2023-12-12 13:53:37.247705,2023-12-12 13:54:56.976567,0 days 00:01:19.728862,363,0.9500960558098,0.0005461876166229139,0.1375952580147071,COMPLETE
29,200.0,2023-12-12 13:54:56.985569,2023-12-12 13:56:24.502916,0 days 00:01:27.517347,55,0.9479145474958662,5.3192710208465986e-05,0.18912950500424341,COMPLETE
30,200.0,2023-12-12 13:56:24.509906,2023-12-12 13:57:46.364425,0 days 00:01:21.854519,209,0.9316431600608707,0.00022672891288149358,0.29469261161233284,COMPLETE
31,200.0,2023-12-12 13:57:46.372417,2023-12-12 13:59:06.345078,0 days 00:01:19.972661,339,0.9213865968797141,1.5389400826507037e-05,0.37396321337914173,COMPLETE
32,200.0,2023-12-12 13:59:06.353069,2023-12-12 14:00:27.643367,0 days 00:01:21.290298,285,0.9430847714284435,1.0675623473648303e-05,0.38752068863796385,COMPLETE
33,200.0,2023-12-12 14:00:27.655374,2023-12-12 14:01:46.596383,0 days 00:01:18.941009,421,0.9192083066978114,3.677241851487122e-05,0.41955658242880506,COMPLETE
34,200.0,2023-12-12 14:01:46.606388,2023-12-12 14:03:06.396179,0 days 00:01:19.789791,356,0.9380386520694245,4.062773045700619e-05,0.3482927611640436,COMPLETE
35,200.0,2023-12-12 14:03:06.404182,2023-12-12 14:04:27.183889,0 days 00:01:20.779707,306,0.9462208681494125,0.00036031573610088077,0.36984509633841817,COMPLETE
36,200.0,2023-12-12 14:04:27.191882,2023-12-12 14:05:49.473507,0 days 00:01:22.281625,261,0.9367159045952534,0.00014641962564054928,0.3162529911480775,COMPLETE
37,200.0,2023-12-12 14:05:49.481498,2023-12-12 14:07:08.874772,0 days 00:01:19.393274,365,0.9429570250993979,2.323774532846328e-05,0.4034027157432125,COMPLETE
38,200.0,2023-12-12 14:07:08.882764,2023-12-12 14:08:31.757032,0 days 00:01:22.874268,129,0.9334719294276955,0.0009339913172706464,0.27967536403731996,COMPLETE
39,200.0,2023-12-12 14:08:31.766534,2023-12-12 14:09:53.776747,0 days 00:01:22.010213,191,0.9601122420365199,0.00010512539442331376,0.4341525153649594,COMPLETE
40,200.0,2023-12-12 14:09:53.784739,2023-12-12 14:11:13.335072,0 days 00:01:19.550333,425,0.9466381741360994,0.0003239803249515893,0.32048778456633586,COMPLETE
41,200.0,2023-12-12 14:11:13.343059,2023-12-12 14:12:31.704112,0 days 00:01:18.361053,480,0.9085889292067009,0.0012484553634682124,0.45196972382294787,COMPLETE
42,200.0,2023-12-12 14:12:31.711104,2023-12-12 14:13:51.003228,0 days 00:01:19.292124,390,0.9394614183044633,0.001769451024802148,0.17781721202884018,COMPLETE
43,200.0,2023-12-12 14:13:51.013220,2023-12-12 14:15:12.131891,0 days 00:01:21.118671,327,0.9354702756926895,0.0005810499612701935,0.35007102734282514,COMPLETE
44,200.0,2023-12-12 14:15:12.139883,2023-12-12 14:16:34.003010,0 days 00:01:21.863127,270,0.9625638503889795,0.001035596573584036,0.3628023779825461,COMPLETE
