number,value,datetime_start,datetime_complete,duration,params_PPO_n_steps,params_ent_coef,params_gamma,params_learning_rate,state
0,169.5,2023-12-12 09:04:52.585641,2023-12-12 09:07:15.330076,0 days 00:02:22.744435,256,0.003925015397171985,0.9958525977854821,0.0015130081073677743,COMPLETE
1,200.0,2023-12-12 09:07:15.337586,2023-12-12 09:09:35.375012,0 days 00:02:20.037426,512,0.00028550889634451366,0.9138821967899853,0.0009221198960301046,COMPLETE
2,200.0,2023-12-12 09:09:35.383071,2023-12-12 09:11:55.591917,0 days 00:02:20.208846,512,0.00033446542037832003,0.9456300164793912,0.000323145049931592,COMPLETE
3,200.0,2023-12-12 09:11:55.597921,2023-12-12 09:14:18.710930,0 days 00:02:23.113009,128,2.3153054557671586e-05,0.9915847615590154,1.118040450530811e-05,COMPLETE
4,200.0,2023-12-12 09:14:18.718022,2023-12-12 09:16:38.387419,0 days 00:02:19.669397,1024,0.0021710270432646708,0.9154724663984346,0.0001567909412417162,COMPLETE
5,200.0,2023-12-12 09:16:38.395420,2023-12-12 09:18:57.248310,0 days 00:02:18.852890,896,0.001606392998722924,0.9363542030703749,0.003052742577039212,COMPLETE
6,200.0,2023-12-12 09:18:57.255311,2023-12-12 09:21:16.574783,0 days 00:02:19.319472,768,0.0004007815198899895,0.9247911329874353,1.2875539915493139e-05,COMPLETE
7,200.0,2023-12-12 09:21:16.582897,2023-12-12 09:23:36.072665,0 days 00:02:19.489768,576,4.675066564815929e-05,0.9679800998470799,1.5715309837005093e-05,COMPLETE
8,200.0,2023-12-12 09:23:36.079665,2023-12-12 09:25:56.065565,0 days 00:02:19.985900,704,0.003285127154655189,0.9637709784356757,1.0652417707993175e-05,COMPLETE
9,200.0,2023-12-12 09:25:56.072677,2023-12-12 09:28:15.729490,0 days 00:02:19.656813,704,5.8573511772603546e-05,0.9461282804734802,0.00011540019883255457,COMPLETE
10,165.1,2023-12-12 09:28:15.736490,2023-12-12 09:30:37.837951,0 days 00:02:22.101461,256,0.03598479950900704,0.993188563482559,0.00812421296924853,COMPLETE
11,139.4,2023-12-12 09:30:37.845953,2023-12-12 09:33:00.187832,0 days 00:02:22.341879,256,0.036138928850503634,0.998097369130885,0.009893598336067245,COMPLETE
12,198.2,2023-12-12 09:33:00.194832,2023-12-12 09:35:23.392306,0 days 00:02:23.197474,256,0.08663872166736357,0.9982895676937972,0.008855962619249005,COMPLETE
13,200.0,2023-12-12 09:35:23.399306,2023-12-12 09:37:48.599616,0 days 00:02:25.200310,64,0.045900480732371816,0.9785930010684617,0.009871462045277977,COMPLETE
14,130.9,2023-12-12 09:37:48.606618,2023-12-12 09:40:08.172193,0 days 00:02:19.565575,640,0.02258855759376134,0.9827286042065251,0.0045458682506632824,COMPLETE
15,200.0,2023-12-12 09:40:08.180269,2023-12-12 09:42:28.062699,0 days 00:02:19.882430,640,0.01473914960278211,0.9801484086212363,0.0027160315049837474,COMPLETE
16,125.5,2023-12-12 09:42:28.069699,2023-12-12 09:44:47.944305,0 days 00:02:19.874606,640,0.009673610362860473,0.9807969153542958,0.004011581763068532,COMPLETE
17,117.7,2023-12-12 09:44:47.953307,2023-12-12 09:47:08.591427,0 days 00:02:20.638120,640,0.0071344174347875225,0.9608636678987429,0.0036116829718302124,COMPLETE
18,200.0,2023-12-12 09:47:08.599517,2023-12-12 09:49:29.038022,0 days 00:02:20.438505,640,0.006120302032057887,0.9611349404526156,0.0015110575639077286,COMPLETE
19,200.0,2023-12-12 09:49:29.045073,2023-12-12 09:51:53.693309,0 days 00:02:24.648236,192,0.008201495927707294,0.9532216479823443,0.004555019757539494,COMPLETE
20,200.0,2023-12-12 09:51:53.700314,2023-12-12 09:54:14.357488,0 days 00:02:20.657174,448,0.00867223823082241,0.9724410460577877,0.0007787623823451026,COMPLETE
21,134.7,2023-12-12 09:54:14.365490,2023-12-12 09:56:34.081227,0 days 00:02:19.715737,640,0.01634087505641866,0.9814443480832574,0.0044087357773606095,COMPLETE
22,121.6,2023-12-12 09:56:34.089290,2023-12-12 09:58:54.091979,0 days 00:02:20.002689,384,0.017046782431375525,0.9834734417370385,0.0043712759490295286,COMPLETE
23,140.7,2023-12-12 09:58:54.099161,2023-12-12 10:01:14.422699,0 days 00:02:20.323538,384,0.010389836478885254,0.9731723251216485,0.0022719960665334485,COMPLETE
24,131.7,2023-12-12 10:01:14.429748,2023-12-12 10:03:33.405479,0 days 00:02:18.975731,960,0.004566809312483982,0.9590914648980313,0.004611072181237509,COMPLETE
25,124.8,2023-12-12 10:03:33.412607,2023-12-12 10:05:53.349381,0 days 00:02:19.936774,384,0.0012445022151973055,0.9859823286764369,0.0016522489824932032,COMPLETE
26,200.0,2023-12-12 10:05:53.356383,2023-12-12 10:08:13.872734,0 days 00:02:20.516351,384,0.0010714233152644148,0.9859477656852669,0.0015220222614605755,COMPLETE
