PPO,A2C,DQN,Random
500.0,500.0,204.0,12.0
500.0,393.0,181.0,18.0
500.0,454.0,339.0,11.0
500.0,353.0,187.0,20.0
500.0,500.0,228.0,25.0
500.0,301.0,396.0,32.0
500.0,415.0,175.0,20.0
500.0,391.0,227.0,13.0
500.0,500.0,285.0,18.0
500.0,180.0,346.0,24.0
500.0,350.0,283.0,15.0
500.0,361.0,148.0,33.0
500.0,500.0,328.0,23.0
500.0,328.0,164.0,41.0
500.0,500.0,205.0,39.0
500.0,435.0,227.0,14.0
500.0,311.0,163.0,18.0
500.0,500.0,237.0,18.0
500.0,500.0,203.0,33.0
500.0,484.0,214.0,14.0
500.0,456.0,159.0,12.0
500.0,500.0,151.0,11.0
500.0,365.0,163.0,9.0
500.0,499.0,217.0,12.0
500.0,500.0,203.0,28.0
500.0,407.0,181.0,15.0
500.0,500.0,215.0,32.0
500.0,363.0,217.0,16.0
500.0,338.0,228.0,45.0
500.0,363.0,239.0,33.0
500.0,449.0,289.0,27.0
500.0,492.0,187.0,16.0
500.0,419.0,296.0,18.0
500.0,500.0,372.0,28.0
500.0,500.0,208.0,23.0
500.0,500.0,216.0,25.0
500.0,218.0,169.0,20.0
500.0,500.0,169.0,45.0
500.0,322.0,186.0,11.0
500.0,348.0,167.0,12.0
500.0,434.0,180.0,9.0
500.0,343.0,299.0,17.0
500.0,249.0,158.0,11.0
500.0,438.0,165.0,12.0
500.0,500.0,187.0,16.0
500.0,374.0,228.0,18.0
500.0,393.0,353.0,9.0
500.0,218.0,363.0,9.0
500.0,500.0,165.0,17.0
500.0,453.0,259.0,33.0
500.0,311.0,258.0,21.0
500.0,500.0,192.0,16.0
500.0,500.0,161.0,23.0
500.0,500.0,159.0,11.0
500.0,500.0,190.0,16.0
500.0,500.0,183.0,59.0
500.0,363.0,235.0,11.0
500.0,227.0,166.0,14.0
500.0,409.0,225.0,13.0
500.0,500.0,165.0,19.0
500.0,500.0,212.0,16.0
500.0,500.0,296.0,16.0
500.0,500.0,186.0,20.0
500.0,408.0,201.0,32.0
500.0,500.0,167.0,19.0
500.0,500.0,190.0,16.0
500.0,500.0,196.0,29.0
500.0,469.0,184.0,14.0
500.0,500.0,185.0,22.0
500.0,148.0,201.0,11.0
500.0,500.0,198.0,22.0
500.0,115.0,221.0,21.0
500.0,500.0,176.0,30.0
500.0,342.0,169.0,8.0
500.0,478.0,199.0,18.0
500.0,500.0,423.0,20.0
500.0,363.0,201.0,19.0
500.0,500.0,227.0,14.0
500.0,500.0,263.0,11.0
500.0,173.0,288.0,10.0
500.0,402.0,235.0,21.0
500.0,500.0,265.0,12.0
500.0,178.0,177.0,11.0
500.0,500.0,220.0,12.0
500.0,335.0,238.0,18.0
500.0,477.0,215.0,19.0
500.0,500.0,199.0,32.0
500.0,500.0,163.0,12.0
500.0,403.0,191.0,12.0
500.0,280.0,270.0,24.0
500.0,500.0,182.0,46.0
500.0,474.0,161.0,47.0
500.0,500.0,213.0,38.0
500.0,49.0,337.0,20.0
500.0,500.0,185.0,49.0
500.0,500.0,200.0,42.0
500.0,498.0,199.0,19.0
500.0,500.0,365.0,12.0
500.0,500.0,248.0,16.0
500.0,500.0,214.0,31.0
