PPO,A2C,DQN,Random
-200.0,-200.0,-200.0,-200.0
-200.0,-200.0,-200.0,-200.0
-200.0,-200.0,-200.0,-200.0
-200.0,-200.0,-200.0,-200.0
-200.0,-200.0,-200.0,-200.0
-200.0,-200.0,-200.0,-200.0
-200.0,-200.0,-200.0,-200.0
-200.0,-200.0,-200.0,-200.0
-200.0,-200.0,-200.0,-200.0
-200.0,-200.0,-200.0,-200.0
-200.0,-200.0,-200.0,-200.0
-200.0,-200.0,-200.0,-200.0
-200.0,-200.0,-200.0,-200.0
-200.0,-200.0,-200.0,-200.0
-200.0,-200.0,-200.0,-200.0
-200.0,-200.0,-200.0,-200.0
-200.0,-200.0,-200.0,-200.0
-200.0,-200.0,-200.0,-200.0
-200.0,-200.0,-200.0,-200.0
-200.0,-200.0,-200.0,-200.0
-200.0,-200.0,-200.0,-200.0
-200.0,-200.0,-200.0,-200.0
-200.0,-200.0,-200.0,-200.0
-200.0,-200.0,-200.0,-200.0
-200.0,-200.0,-200.0,-200.0
-200.0,-200.0,-200.0,-200.0
-200.0,-200.0,-200.0,-200.0
-200.0,-200.0,-200.0,-200.0
-200.0,-200.0,-200.0,-200.0
-200.0,-200.0,-200.0,-200.0
-200.0,-200.0,-200.0,-200.0
-200.0,-200.0,-200.0,-200.0
-200.0,-200.0,-200.0,-200.0
-200.0,-200.0,-200.0,-200.0
-200.0,-200.0,-200.0,-200.0
-200.0,-200.0,-200.0,-200.0
-200.0,-200.0,-200.0,-200.0
-200.0,-200.0,-200.0,-200.0
-200.0,-200.0,-200.0,-200.0
-200.0,-200.0,-200.0,-200.0
-200.0,-200.0,-200.0,-200.0
-200.0,-200.0,-200.0,-200.0
-200.0,-200.0,-200.0,-200.0
-200.0,-200.0,-200.0,-200.0
-200.0,-200.0,-200.0,-200.0
-200.0,-200.0,-200.0,-200.0
-200.0,-200.0,-200.0,-200.0
-200.0,-200.0,-200.0,-200.0
-200.0,-200.0,-200.0,-200.0
-200.0,-200.0,-200.0,-200.0
-200.0,-200.0,-200.0,-200.0
-200.0,-200.0,-200.0,-200.0
-200.0,-200.0,-200.0,-200.0
-200.0,-200.0,-200.0,-200.0
-200.0,-200.0,-200.0,-200.0
-200.0,-200.0,-200.0,-200.0
-200.0,-200.0,-200.0,-200.0
-200.0,-200.0,-200.0,-200.0
-200.0,-200.0,-200.0,-200.0
-200.0,-200.0,-200.0,-200.0
-200.0,-200.0,-200.0,-200.0
-200.0,-200.0,-200.0,-200.0
-200.0,-200.0,-200.0,-200.0
-200.0,-200.0,-200.0,-200.0
-200.0,-200.0,-200.0,-200.0
-200.0,-200.0,-200.0,-200.0
-200.0,-200.0,-200.0,-200.0
-200.0,-200.0,-200.0,-200.0
-200.0,-200.0,-200.0,-200.0
-200.0,-200.0,-200.0,-200.0
-200.0,-200.0,-200.0,-200.0
-200.0,-200.0,-200.0,-200.0
-200.0,-200.0,-200.0,-200.0
-200.0,-200.0,-200.0,-200.0
-200.0,-200.0,-200.0,-200.0
-200.0,-200.0,-200.0,-200.0
-200.0,-200.0,-200.0,-200.0
-200.0,-200.0,-200.0,-200.0
-200.0,-200.0,-200.0,-200.0
-200.0,-200.0,-200.0,-200.0
-200.0,-200.0,-200.0,-200.0
-200.0,-200.0,-200.0,-200.0
-200.0,-200.0,-200.0,-200.0
-200.0,-200.0,-200.0,-200.0
-200.0,-200.0,-200.0,-200.0
-200.0,-200.0,-200.0,-200.0
-200.0,-200.0,-200.0,-200.0
-200.0,-200.0,-200.0,-200.0
-200.0,-200.0,-200.0,-200.0
-200.0,-200.0,-200.0,-200.0
-200.0,-200.0,-200.0,-200.0
-200.0,-200.0,-200.0,-200.0
-200.0,-200.0,-200.0,-200.0
-200.0,-200.0,-200.0,-200.0
-200.0,-200.0,-200.0,-200.0
-200.0,-200.0,-200.0,-200.0
-200.0,-200.0,-200.0,-200.0
-200.0,-200.0,-200.0,-200.0
-200.0,-200.0,-200.0,-200.0
-200.0,-200.0,-200.0,-200.0
