PPO,A2C,DQN,Random
500.0,500.0,333.0,42.0
500.0,500.0,365.0,15.0
500.0,500.0,358.0,19.0
500.0,500.0,238.0,11.0
500.0,500.0,247.0,55.0
500.0,500.0,325.0,14.0
500.0,500.0,257.0,22.0
500.0,500.0,288.0,12.0
500.0,500.0,256.0,18.0
500.0,500.0,337.0,40.0
500.0,500.0,248.0,23.0
500.0,500.0,246.0,25.0
500.0,500.0,326.0,32.0
500.0,500.0,372.0,16.0
500.0,500.0,376.0,44.0
500.0,500.0,297.0,13.0
500.0,500.0,322.0,15.0
500.0,500.0,237.0,22.0
500.0,500.0,361.0,15.0
500.0,500.0,329.0,16.0
500.0,500.0,306.0,19.0
500.0,500.0,455.0,14.0
500.0,500.0,321.0,25.0
500.0,500.0,369.0,19.0
500.0,500.0,431.0,23.0
500.0,500.0,266.0,12.0
500.0,500.0,367.0,16.0
500.0,500.0,309.0,10.0
500.0,500.0,246.0,27.0
500.0,500.0,253.0,23.0
500.0,500.0,300.0,24.0
500.0,500.0,248.0,16.0
500.0,500.0,264.0,15.0
500.0,500.0,309.0,15.0
500.0,500.0,283.0,16.0
500.0,500.0,235.0,20.0
500.0,500.0,343.0,37.0
500.0,500.0,316.0,17.0
500.0,500.0,269.0,37.0
500.0,500.0,222.0,23.0
500.0,500.0,379.0,25.0
500.0,500.0,317.0,17.0
500.0,500.0,223.0,30.0
500.0,500.0,255.0,13.0
500.0,500.0,360.0,59.0
500.0,500.0,251.0,10.0
500.0,500.0,243.0,21.0
500.0,500.0,285.0,11.0
500.0,500.0,320.0,29.0
500.0,500.0,283.0,21.0
500.0,500.0,279.0,10.0
500.0,500.0,269.0,14.0
500.0,500.0,406.0,36.0
500.0,500.0,351.0,16.0
500.0,500.0,365.0,27.0
500.0,500.0,229.0,26.0
500.0,500.0,280.0,18.0
500.0,500.0,340.0,17.0
500.0,500.0,251.0,19.0
500.0,500.0,254.0,9.0
500.0,500.0,309.0,15.0
500.0,500.0,306.0,24.0
500.0,500.0,240.0,12.0
500.0,500.0,277.0,9.0
500.0,500.0,347.0,15.0
500.0,500.0,259.0,16.0
500.0,500.0,340.0,17.0
500.0,500.0,315.0,17.0
500.0,500.0,306.0,16.0
500.0,500.0,284.0,25.0
500.0,500.0,311.0,23.0
500.0,500.0,273.0,17.0
500.0,500.0,251.0,24.0
500.0,500.0,307.0,31.0
500.0,500.0,364.0,16.0
500.0,500.0,311.0,15.0
500.0,500.0,238.0,43.0
500.0,500.0,306.0,28.0
500.0,500.0,439.0,20.0
500.0,500.0,270.0,25.0
500.0,500.0,361.0,21.0
500.0,500.0,382.0,15.0
500.0,500.0,477.0,19.0
500.0,500.0,297.0,27.0
500.0,500.0,271.0,26.0
500.0,500.0,271.0,17.0
500.0,500.0,286.0,14.0
500.0,500.0,289.0,18.0
500.0,500.0,245.0,13.0
500.0,500.0,244.0,13.0
500.0,500.0,262.0,50.0
500.0,500.0,500.0,10.0
500.0,500.0,366.0,11.0
500.0,500.0,269.0,17.0
500.0,500.0,233.0,48.0
500.0,500.0,260.0,17.0
500.0,500.0,407.0,17.0
500.0,500.0,341.0,21.0
500.0,500.0,257.0,14.0
500.0,500.0,235.0,47.0
