agent,environment,run,reward
PPO,CartPole-v1,1,"[500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0]"
PPO,CartPole-v1,2,"[500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0]"
PPO,CartPole-v1,3,"[500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0]"
PPO,CartPole-v1,4,"[500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0]"
PPO,CartPole-v1,5,"[500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0]"
PPO,CartPole-v1,6,"[500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0]"
PPO,CartPole-v1,7,"[500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0]"
PPO,CartPole-v1,8,"[500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0]"
PPO,CartPole-v1,9,"[500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0]"
PPO,CartPole-v1,10,"[500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0]"
PPO,FrozenLake-v1,1,"[1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0]"
PPO,FrozenLake-v1,2,"[1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0]"
PPO,FrozenLake-v1,3,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
PPO,FrozenLake-v1,4,"[1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
PPO,FrozenLake-v1,5,"[0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
PPO,FrozenLake-v1,6,"[0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0]"
PPO,FrozenLake-v1,7,"[1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0]"
PPO,FrozenLake-v1,8,"[1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0]"
PPO,FrozenLake-v1,9,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]"
PPO,FrozenLake-v1,10,"[1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
PPO,MountainCar-v0,1,"[-134.0, -132.0, -117.0, -109.0, -132.0, -137.0, -113.0, -163.0, -147.0, -131.0]"
PPO,MountainCar-v0,2,"[-151.0, -111.0, -110.0, -177.0, -110.0, -181.0, -191.0, -111.0, -110.0, -181.0]"
PPO,MountainCar-v0,3,"[-116.0, -109.0, -118.0, -141.0, -149.0, -94.0, -114.0, -115.0, -115.0, -117.0]"
PPO,MountainCar-v0,4,"[-108.0, -108.0, -108.0, -104.0, -110.0, -106.0, -122.0, -110.0, -103.0, -106.0]"
PPO,MountainCar-v0,5,"[-200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0]"
PPO,MountainCar-v0,6,"[-180.0, -114.0, -182.0, -115.0, -110.0, -112.0, -115.0, -116.0, -111.0, -200.0]"
PPO,MountainCar-v0,7,"[-91.0, -115.0, -89.0, -109.0, -109.0, -108.0, -110.0, -105.0, -109.0, -91.0]"
PPO,MountainCar-v0,8,"[-113.0, -115.0, -125.0, -115.0, -116.0, -114.0, -114.0, -200.0, -115.0, -113.0]"
PPO,MountainCar-v0,9,"[-111.0, -184.0, -198.0, -112.0, -113.0, -112.0, -135.0, -111.0, -183.0, -183.0]"
PPO,MountainCar-v0,10,"[-157.0, -85.0, -111.0, -104.0, -110.0, -109.0, -85.0, -106.0, -105.0, -109.0]"
A2C,CartPole-v1,1,"[500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0]"
A2C,CartPole-v1,2,"[500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0]"
A2C,CartPole-v1,3,"[500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0]"
A2C,CartPole-v1,4,"[500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0]"
A2C,CartPole-v1,5,"[500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0]"
A2C,CartPole-v1,6,"[500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0]"
A2C,CartPole-v1,7,"[500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0]"
A2C,CartPole-v1,8,"[500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0]"
A2C,CartPole-v1,9,"[500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0]"
A2C,CartPole-v1,10,"[500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0, 500.0]"
A2C,FrozenLake-v1,1,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
A2C,FrozenLake-v1,2,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A2C,FrozenLake-v1,3,"[1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0]"
A2C,FrozenLake-v1,4,"[1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0]"
A2C,FrozenLake-v1,5,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A2C,FrozenLake-v1,6,"[1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]"
A2C,FrozenLake-v1,7,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0]"
A2C,FrozenLake-v1,8,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0]"
A2C,FrozenLake-v1,9,"[1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0]"
A2C,FrozenLake-v1,10,"[0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0]"
A2C,MountainCar-v0,1,"[-200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0]"
A2C,MountainCar-v0,2,"[-200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0]"
A2C,MountainCar-v0,3,"[-200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0]"
A2C,MountainCar-v0,4,"[-200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0]"
A2C,MountainCar-v0,5,"[-200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0]"
A2C,MountainCar-v0,6,"[-200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0]"
A2C,MountainCar-v0,7,"[-200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0]"
A2C,MountainCar-v0,8,"[-200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0]"
A2C,MountainCar-v0,9,"[-200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0]"
A2C,MountainCar-v0,10,"[-200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0, -200.0]"
DQN,CartPole-v1,1,"[92.0, 12.0, 90.0, 78.0, 98.0, 96.0, 95.0, 100.0, 12.0, 91.0]"
DQN,CartPole-v1,2,"[96.0, 12.0, 100.0, 98.0, 101.0, 98.0, 13.0, 101.0, 105.0, 13.0]"
DQN,CartPole-v1,3,"[90.0, 89.0, 90.0, 12.0, 79.0, 92.0, 73.0, 90.0, 89.0, 86.0]"
DQN,CartPole-v1,4,"[100.0, 100.0, 21.0, 99.0, 100.0, 13.0, 98.0, 99.0, 97.0, 109.0]"
DQN,CartPole-v1,5,"[59.0, 88.0, 92.0, 92.0, 45.0, 89.0, 40.0, 89.0, 87.0, 94.0]"
DQN,CartPole-v1,6,"[96.0, 148.0, 325.0, 10.0, 15.0, 128.0, 91.0, 96.0, 103.0, 95.0]"
DQN,CartPole-v1,7,"[50.0, 86.0, 84.0, 92.0, 67.0, 93.0, 15.0, 90.0, 64.0, 65.0]"
DQN,CartPole-v1,8,"[160.0, 164.0, 156.0, 151.0, 182.0, 166.0, 156.0, 178.0, 167.0, 182.0]"
DQN,CartPole-v1,9,"[16.0, 95.0, 95.0, 92.0, 22.0, 50.0, 42.0, 95.0, 45.0, 98.0]"
DQN,CartPole-v1,10,"[139.0, 137.0, 149.0, 128.0, 144.0, 140.0, 136.0, 143.0, 131.0, 137.0]"
