number,value,datetime_start,datetime_complete,duration,params_A2C_n_steps,params_gamma,params_learning_rate,params_vf_coef,state,Environment,Agent,params_exploration_fraction,params_target_update_interval,params_PPO_n_steps,params_ent_coef
0,-9.4,2023-12-11 21:55:36.165628,2023-12-11 21:56:48.836590,0 days 00:01:12.670962,255.0,0.987966036673252,0.0068155904829497,0.2739897294360157,COMPLETE,CartPole-v1,A2C,,,,
1,-42.3,2023-12-11 21:56:48.843591,2023-12-11 21:57:59.834257,0 days 00:01:10.990666,359.0,0.9105676749258196,0.0001020412601003,0.2418557515797817,COMPLETE,CartPole-v1,A2C,,,,
2,-262.2,2023-12-11 21:57:59.841259,2023-12-11 21:59:10.866927,0 days 00:01:11.025668,447.0,0.9868934902565372,0.0006612084325738,0.1295814709891763,COMPLETE,CartPole-v1,A2C,,,,
3,-500.0,2023-12-11 21:59:10.873967,2023-12-11 22:00:23.168204,0 days 00:01:12.294237,438.0,0.966055172228118,0.0019324524961787,0.3286725461262983,COMPLETE,CartPole-v1,A2C,,,,
4,-189.2,2023-12-11 22:00:23.176196,2023-12-11 22:01:37.687174,0 days 00:01:14.510978,130.0,0.9531916178249772,0.0001375813403413,0.34910451022888,COMPLETE,CartPole-v1,A2C,,,,
5,-32.2,2023-12-11 22:01:37.697216,2023-12-11 22:02:48.782677,0 days 00:01:11.085461,339.0,0.9494369942768474,6.036800792977576e-05,0.463721769222729,COMPLETE,CartPole-v1,A2C,,,,
6,-34.7,2023-12-11 22:02:48.793186,2023-12-11 22:04:02.724821,0 days 00:01:13.931635,115.0,0.9806999957763792,1.734146797274683e-05,0.1102940324234492,COMPLETE,CartPole-v1,A2C,,,,
7,-247.4,2023-12-11 22:04:02.733823,2023-12-11 22:05:15.612871,0 days 00:01:12.879048,315.0,0.9569305852614882,0.0004580690990602,0.4865590801451261,COMPLETE,CartPole-v1,A2C,,,,
8,-49.8,2023-12-11 22:05:15.619963,2023-12-11 22:06:28.842558,0 days 00:01:13.222595,185.0,0.9539179417356852,6.38531069392256e-05,0.2459551213206653,COMPLETE,CartPole-v1,A2C,,,,
9,-500.0,2023-12-11 22:06:28.850560,2023-12-11 22:07:44.580312,0 days 00:01:15.729752,142.0,0.9258640214989464,0.0011073917594912,0.340899888592331,COMPLETE,CartPole-v1,A2C,,,,
10,-500.0,2023-12-11 22:07:44.587773,2023-12-11 22:08:56.334302,0 days 00:01:11.746529,498.0,0.9716061334398098,0.0036426001975926,0.4144773090451981,COMPLETE,CartPole-v1,A2C,,,,
11,-500.0,2023-12-11 22:08:56.342295,2023-12-11 22:10:36.307686,0 days 00:01:39.965391,13.0,0.9286565572955378,0.0016165847760679,0.3484657557200976,COMPLETE,CartPole-v1,A2C,,,,
12,-463.8,2023-12-11 22:10:36.315678,2023-12-11 22:12:04.566081,0 days 00:01:28.250403,23.0,0.9311199089883162,0.0014600072448513,0.34662538674394,COMPLETE,CartPole-v1,A2C,,,,
13,-121.0,2023-12-11 22:12:04.573134,2023-12-11 22:13:17.595865,0 days 00:01:13.022731,202.0,0.9679977568584314,0.0084314712208337,0.3912471372770062,COMPLETE,CartPole-v1,A2C,,,,
14,-442.4,2023-12-11 22:13:17.602947,2023-12-11 22:14:30.022964,0 days 00:01:12.420017,408.0,0.9985979504116964,0.0015512737810734,0.3071369442735053,COMPLETE,CartPole-v1,A2C,,,,
15,-498.4,2023-12-11 22:14:30.029965,2023-12-11 22:15:45.321661,0 days 00:01:15.291696,260.0,0.9076615351795052,0.0007187350281943,0.4172505667933539,COMPLETE,CartPole-v1,A2C,,,,
16,-500.0,2023-12-11 22:15:45.328732,2023-12-11 22:17:03.322401,0 days 00:01:17.993669,79.0,0.937104524572578,0.0029338812969968,0.210809059409573,COMPLETE,CartPole-v1,A2C,,,,
17,-389.1,2023-12-11 22:17:03.329403,2023-12-11 22:18:17.802570,0 days 00:01:14.473167,196.0,0.9195565183304896,0.0004153940992622,0.3115279538399482,COMPLETE,CartPole-v1,A2C,,,,
18,-98.3,2023-12-11 22:18:17.810575,2023-12-11 22:19:28.401018,0 days 00:01:10.590443,495.0,0.9412946073870484,0.0001994797284138,0.1906460245937341,COMPLETE,CartPole-v1,A2C,,,,
19,-251.7,2023-12-11 22:19:28.408028,2023-12-11 22:20:41.544885,0 days 00:01:13.136857,295.0,0.9005598766065607,0.0008638939387452,0.2905274339250779,COMPLETE,CartPole-v1,A2C,,,,
20,-182.2,2023-12-11 22:20:41.551876,2023-12-11 22:21:52.654727,0 days 00:01:11.102851,414.0,0.9236920768464292,0.0033923115100299,0.3793336352573076,COMPLETE,CartPole-v1,A2C,,,,
21,-500.0,2023-12-11 22:21:52.661729,2023-12-11 22:23:04.655113,0 days 00:01:11.993384,495.0,0.9674579228285412,0.0039467782846532,0.4431112349148429,COMPLETE,CartPole-v1,A2C,,,,
22,-500.0,2023-12-11 22:23:04.663116,2023-12-11 22:24:16.850751,0 days 00:01:12.187635,448.0,0.9679701968310384,0.0022970451656815,0.4193369767625562,COMPLETE,CartPole-v1,A2C,,,,
23,-409.3,2023-12-11 22:24:16.857754,2023-12-11 22:25:29.334406,0 days 00:01:12.476652,409.0,0.9435350515737146,0.0052466895724436,0.3730032859928444,COMPLETE,CartPole-v1,A2C,,,,
24,-500.0,2023-12-11 22:25:29.342407,2023-12-11 22:26:42.358234,0 days 00:01:13.015827,374.0,0.9621668592710072,0.0054253251233963,0.4969768914298261,COMPLETE,CartPole-v1,A2C,,,,
25,-500.0,2023-12-11 22:26:42.366225,2023-12-11 22:27:54.299260,0 days 00:01:11.933035,472.0,0.9754639274220092,0.0095166993052059,0.3294087617432198,COMPLETE,CartPole-v1,A2C,,,,
26,-500.0,2023-12-11 22:27:54.306252,2023-12-11 22:29:09.905442,0 days 00:01:15.599190,150.0,0.9478872053205591,0.0011559659280902,0.405879383008949,COMPLETE,CartPole-v1,A2C,,,,
27,-500.0,2023-12-11 22:29:09.912512,2023-12-11 22:30:29.093400,0 days 00:01:19.180888,59.0,0.9596250011227726,0.0023813338215209,0.3739361297860939,COMPLETE,CartPole-v1,A2C,,,,
28,-499.9,2023-12-11 22:30:29.101903,2023-12-11 22:31:41.380947,0 days 00:01:12.279044,450.0,0.9758719230847442,0.0010602694889156,0.4260068959060713,COMPLETE,CartPole-v1,A2C,,,,
29,-500.0,2023-12-11 22:31:41.390021,2023-12-11 22:32:55.679348,0 days 00:01:14.289327,246.0,0.9357797879248816,0.0053594285687614,0.2730758884220224,COMPLETE,CartPole-v1,A2C,,,,
30,-500.0,2023-12-11 22:32:55.686339,2023-12-11 22:34:08.506469,0 days 00:01:12.820130,382.0,0.9462251034130617,0.0022055180336318,0.4480883848371463,COMPLETE,CartPole-v1,A2C,,,,
31,-500.0,2023-12-11 22:34:08.514471,2023-12-11 22:35:27.493805,0 days 00:01:18.979334,74.0,0.9207887337315732,0.0016964988100373,0.3412251060152863,COMPLETE,CartPole-v1,A2C,,,,
32,-500.0,2023-12-11 22:35:27.500808,2023-12-11 22:37:37.458987,0 days 00:02:09.958179,6.0,0.9324580682550532,0.0016752703169202,0.3649943697735215,COMPLETE,CartPole-v1,A2C,,,,
33,-500.0,2023-12-11 22:37:37.465978,2023-12-11 22:38:57.680044,0 days 00:01:20.214066,50.0,0.9283665646896608,0.0035790898314875,0.3259462571734031,COMPLETE,CartPole-v1,A2C,,,,
34,-467.9,2023-12-11 22:38:57.686035,2023-12-11 22:40:14.019042,0 days 00:01:16.333007,120.0,0.9137612681905348,0.0006239538633863,0.4012096925173701,COMPLETE,CartPole-v1,A2C,,,,
