number,value,datetime_start,datetime_complete,duration,params_A2C_n_steps,params_gamma,params_learning_rate,params_vf_coef,state
0,-9.4,2023-12-11 21:55:36.165628,2023-12-11 21:56:48.836590,0 days 00:01:12.670962,255,0.9879660366732521,0.006815590482949753,0.2739897294360157,COMPLETE
1,-42.3,2023-12-11 21:56:48.843591,2023-12-11 21:57:59.834257,0 days 00:01:10.990666,359,0.9105676749258196,0.0001020412601003527,0.24185575157978173,COMPLETE
2,-262.2,2023-12-11 21:57:59.841259,2023-12-11 21:59:10.866927,0 days 00:01:11.025668,447,0.9868934902565372,0.0006612084325738523,0.12958147098917638,COMPLETE
3,-500.0,2023-12-11 21:59:10.873967,2023-12-11 22:00:23.168204,0 days 00:01:12.294237,438,0.9660551722281179,0.001932452496178705,0.3286725461262983,COMPLETE
4,-189.2,2023-12-11 22:00:23.176196,2023-12-11 22:01:37.687174,0 days 00:01:14.510978,130,0.9531916178249773,0.00013758134034137965,0.34910451022888,COMPLETE
5,-32.2,2023-12-11 22:01:37.697216,2023-12-11 22:02:48.782677,0 days 00:01:11.085461,339,0.9494369942768474,6.0368007929775755e-05,0.463721769222729,COMPLETE
6,-34.7,2023-12-11 22:02:48.793186,2023-12-11 22:04:02.724821,0 days 00:01:13.931635,115,0.9806999957763792,1.734146797274683e-05,0.1102940324234492,COMPLETE
7,-247.4,2023-12-11 22:04:02.733823,2023-12-11 22:05:15.612871,0 days 00:01:12.879048,315,0.9569305852614882,0.0004580690990602162,0.48655908014512617,COMPLETE
8,-49.8,2023-12-11 22:05:15.619963,2023-12-11 22:06:28.842558,0 days 00:01:13.222595,185,0.9539179417356852,6.38531069392256e-05,0.24595512132066533,COMPLETE
9,-500.0,2023-12-11 22:06:28.850560,2023-12-11 22:07:44.580312,0 days 00:01:15.729752,142,0.9258640214989465,0.0011073917594912998,0.340899888592331,COMPLETE
10,-500.0,2023-12-11 22:07:44.587773,2023-12-11 22:08:56.334302,0 days 00:01:11.746529,498,0.9716061334398098,0.003642600197592687,0.4144773090451981,COMPLETE
11,-500.0,2023-12-11 22:08:56.342295,2023-12-11 22:10:36.307686,0 days 00:01:39.965391,13,0.9286565572955378,0.0016165847760679123,0.34846575572009764,COMPLETE
12,-463.8,2023-12-11 22:10:36.315678,2023-12-11 22:12:04.566081,0 days 00:01:28.250403,23,0.9311199089883162,0.0014600072448513546,0.34662538674394,COMPLETE
13,-121.0,2023-12-11 22:12:04.573134,2023-12-11 22:13:17.595865,0 days 00:01:13.022731,202,0.9679977568584314,0.008431471220833717,0.3912471372770062,COMPLETE
14,-442.4,2023-12-11 22:13:17.602947,2023-12-11 22:14:30.022964,0 days 00:01:12.420017,408,0.9985979504116965,0.0015512737810734524,0.3071369442735053,COMPLETE
15,-498.4,2023-12-11 22:14:30.029965,2023-12-11 22:15:45.321661,0 days 00:01:15.291696,260,0.9076615351795053,0.0007187350281943279,0.4172505667933539,COMPLETE
16,-500.0,2023-12-11 22:15:45.328732,2023-12-11 22:17:03.322401,0 days 00:01:17.993669,79,0.9371045245725779,0.002933881296996898,0.21080905940957306,COMPLETE
17,-389.1,2023-12-11 22:17:03.329403,2023-12-11 22:18:17.802570,0 days 00:01:14.473167,196,0.9195565183304895,0.000415394099262257,0.31152795383994825,COMPLETE
18,-98.3,2023-12-11 22:18:17.810575,2023-12-11 22:19:28.401018,0 days 00:01:10.590443,495,0.9412946073870483,0.00019947972841386776,0.19064602459373411,COMPLETE
19,-251.7,2023-12-11 22:19:28.408028,2023-12-11 22:20:41.544885,0 days 00:01:13.136857,295,0.9005598766065607,0.0008638939387452454,0.29052743392507796,COMPLETE
20,-182.2,2023-12-11 22:20:41.551876,2023-12-11 22:21:52.654727,0 days 00:01:11.102851,414,0.9236920768464292,0.0033923115100299842,0.3793336352573076,COMPLETE
21,-500.0,2023-12-11 22:21:52.661729,2023-12-11 22:23:04.655113,0 days 00:01:11.993384,495,0.9674579228285413,0.003946778284653277,0.44311123491484294,COMPLETE
22,-500.0,2023-12-11 22:23:04.663116,2023-12-11 22:24:16.850751,0 days 00:01:12.187635,448,0.9679701968310385,0.002297045165681582,0.41933697676255627,COMPLETE
23,-409.3,2023-12-11 22:24:16.857754,2023-12-11 22:25:29.334406,0 days 00:01:12.476652,409,0.9435350515737146,0.005246689572443651,0.3730032859928444,COMPLETE
24,-500.0,2023-12-11 22:25:29.342407,2023-12-11 22:26:42.358234,0 days 00:01:13.015827,374,0.9621668592710071,0.0054253251233963564,0.4969768914298261,COMPLETE
25,-500.0,2023-12-11 22:26:42.366225,2023-12-11 22:27:54.299260,0 days 00:01:11.933035,472,0.9754639274220092,0.009516699305205935,0.32940876174321987,COMPLETE
26,-500.0,2023-12-11 22:27:54.306252,2023-12-11 22:29:09.905442,0 days 00:01:15.599190,150,0.9478872053205593,0.0011559659280902168,0.405879383008949,COMPLETE
27,-500.0,2023-12-11 22:29:09.912512,2023-12-11 22:30:29.093400,0 days 00:01:19.180888,59,0.9596250011227726,0.002381333821520907,0.3739361297860939,COMPLETE
28,-499.9,2023-12-11 22:30:29.101903,2023-12-11 22:31:41.380947,0 days 00:01:12.279044,450,0.9758719230847442,0.001060269488915601,0.4260068959060713,COMPLETE
29,-500.0,2023-12-11 22:31:41.390021,2023-12-11 22:32:55.679348,0 days 00:01:14.289327,246,0.9357797879248816,0.00535942856876142,0.2730758884220224,COMPLETE
30,-500.0,2023-12-11 22:32:55.686339,2023-12-11 22:34:08.506469,0 days 00:01:12.820130,382,0.9462251034130615,0.0022055180336318413,0.44808838483714636,COMPLETE
31,-500.0,2023-12-11 22:34:08.514471,2023-12-11 22:35:27.493805,0 days 00:01:18.979334,74,0.9207887337315732,0.0016964988100373038,0.34122510601528633,COMPLETE
32,-500.0,2023-12-11 22:35:27.500808,2023-12-11 22:37:37.458987,0 days 00:02:09.958179,6,0.9324580682550532,0.001675270316920241,0.36499436977352157,COMPLETE
33,-500.0,2023-12-11 22:37:37.465978,2023-12-11 22:38:57.680044,0 days 00:01:20.214066,50,0.9283665646896607,0.0035790898314875612,0.32594625717340314,COMPLETE
34,-467.9,2023-12-11 22:38:57.686035,2023-12-11 22:40:14.019042,0 days 00:01:16.333007,120,0.9137612681905348,0.0006239538633863635,0.4012096925173701,COMPLETE
35,-495.1,2023-12-11 22:40:14.026033,2023-12-11 22:41:29.443658,0 days 00:01:15.417625,163,0.9391915306226825,0.001082411617859682,0.3560636159926363,COMPLETE
36,-108.5,2023-12-11 22:41:29.450659,2023-12-11 22:42:42.393578,0 days 00:01:12.942919,233,0.9272454213606204,0.006394209852297748,0.33526194775232165,COMPLETE
37,-500.0,2023-12-11 22:42:42.401580,2023-12-11 22:43:55.822055,0 days 00:01:13.420475,346,0.952367508631887,0.0006357895780342851,0.38540807452604187,COMPLETE
