number,value,datetime_start,datetime_complete,duration,params_PPO_n_steps,params_ent_coef,params_gamma,params_learning_rate,state
0,-500.0,2023-12-11 18:11:04.159420,2023-12-11 18:13:18.021465,0 days 00:02:13.862045,960,0.01551103286721273,0.9508217138400267,0.00010183876996489868,COMPLETE
1,-113.6,2023-12-11 18:13:18.073398,2023-12-11 18:15:36.440088,0 days 00:02:18.366690,64,0.003055921414595623,0.9175776938094088,0.0002462515317545401,COMPLETE
2,-145.8,2023-12-11 18:15:36.447139,2023-12-11 18:17:49.639941,0 days 00:02:13.192802,512,0.06533222872242427,0.9197053438077278,0.000957517067160059,COMPLETE
3,-500.0,2023-12-11 18:17:49.647052,2023-12-11 18:20:03.190212,0 days 00:02:13.543160,768,0.00022642966290396563,0.9899858798361703,0.0002722792238019632,COMPLETE
4,-269.1,2023-12-11 18:20:03.198617,2023-12-11 18:22:15.689659,0 days 00:02:12.491042,640,0.00014910081729842625,0.9410771936296554,2.478313021805364e-05,COMPLETE
5,-500.0,2023-12-11 18:22:15.696714,2023-12-11 18:24:31.211463,0 days 00:02:15.514749,192,2.268861094656742e-05,0.9810114617117881,0.0006964319024017867,COMPLETE
6,-102.8,2023-12-11 18:24:31.218465,2023-12-11 18:26:46.977096,0 days 00:02:15.758631,64,0.08128987626048548,0.9331924069153956,0.006325029800602599,COMPLETE
7,-279.5,2023-12-11 18:26:46.984097,2023-12-11 18:28:58.665116,0 days 00:02:11.681019,1024,6.542590421606e-05,0.9219129821712706,3.377346172000986e-05,COMPLETE
8,-240.8,2023-12-11 18:28:58.673222,2023-12-11 18:31:10.949044,0 days 00:02:12.275822,960,0.01674918680494319,0.9227496797387643,7.298889722762821e-05,COMPLETE
9,-500.0,2023-12-11 18:31:10.957142,2023-12-11 18:33:25.130951,0 days 00:02:14.173809,704,0.0001044545610727814,0.9963382540032255,0.00039891841212753355,COMPLETE
10,-247.6,2023-12-11 18:33:25.139999,2023-12-11 18:35:38.928643,0 days 00:02:13.788644,448,0.0024120483206520396,0.964053767760535,1.147986863187974e-05,COMPLETE
11,-500.0,2023-12-11 18:35:38.936645,2023-12-11 18:37:52.833992,0 days 00:02:13.897347,768,0.0005511891516195047,0.9589683189053058,0.0001300678205916809,COMPLETE
12,-500.0,2023-12-11 18:37:52.840503,2023-12-11 18:40:06.437500,0 days 00:02:13.596997,960,0.0005220969057133317,0.9731045665824725,0.00011372418420869745,COMPLETE
13,-500.0,2023-12-11 18:40:06.444502,2023-12-11 18:42:20.291909,0 days 00:02:13.847407,768,0.0038696383843627785,0.9476271042415477,0.0002718022517791607,COMPLETE
14,-500.0,2023-12-11 18:42:20.299913,2023-12-11 18:44:34.056817,0 days 00:02:13.756904,832,0.012642685510112564,0.9047743605466528,6.057305885490661e-05,COMPLETE
15,-500.0,2023-12-11 18:44:34.064818,2023-12-11 18:46:50.342646,0 days 00:02:16.277828,320,1.1661991990056239e-05,0.9974698827503904,0.0011900442217008611,COMPLETE
16,-500.0,2023-12-11 18:46:50.350649,2023-12-11 18:49:04.029229,0 days 00:02:13.678580,896,0.0003250372326856412,0.95554886260258,0.000148676030473194,COMPLETE
