number,value,datetime_start,datetime_complete,duration,params_exploration_fraction,params_gamma,params_learning_rate,params_target_update_interval,state
0,-0.3,2023-12-12 07:33:35.644503,2023-12-12 07:34:30.468362,0 days 00:00:54.823859,0.19746432367061784,0.9237644613197837,0.00045226011299239133,1536,COMPLETE
1,-0.7,2023-12-12 07:34:30.478364,2023-12-12 07:35:25.600775,0 days 00:00:55.122411,0.14201445030474014,0.9688012424749403,0.00039817326426500233,772,COMPLETE
2,-0.7,2023-12-12 07:35:25.607776,2023-12-12 07:36:20.236658,0 days 00:00:54.628882,0.17252194514448652,0.950605714488321,8.854926545790171e-05,882,COMPLETE
3,-0.2,2023-12-12 07:36:20.243707,2023-12-12 07:37:14.469836,0 days 00:00:54.226129,0.27206068910711945,0.9880168101694515,0.007383671901364704,1673,COMPLETE
4,-0.5,2023-12-12 07:37:14.477838,2023-12-12 07:38:09.054897,0 days 00:00:54.577059,0.16890539495152704,0.9410814626823079,2.811784067961982e-05,1731,COMPLETE
5,-0.5,2023-12-12 07:38:09.065012,2023-12-12 07:39:03.508625,0 days 00:00:54.443613,0.4908584973676139,0.9955657960996593,6.353559232379995e-05,578,COMPLETE
6,-0.1,2023-12-12 07:39:03.517629,2023-12-12 07:39:58.125267,0 days 00:00:54.607638,0.2888953834322506,0.9956441804820217,1.2500829115770524e-05,1034,COMPLETE
7,-0.5,2023-12-12 07:39:58.133269,2023-12-12 07:40:53.202289,0 days 00:00:55.069020,0.17008647256249546,0.9541068358386792,0.0003747447432578189,909,COMPLETE
8,-0.1,2023-12-12 07:40:53.210405,2023-12-12 07:41:47.620351,0 days 00:00:54.409946,0.1560194599265052,0.9146525014507029,0.00014791061130861935,1765,COMPLETE
9,-0.6,2023-12-12 07:41:47.631454,2023-12-12 07:42:42.312577,0 days 00:00:54.681123,0.1808841534286493,0.9172200726030397,6.440146117223551e-05,1009,COMPLETE
10,-0.5,2023-12-12 07:42:42.319705,2023-12-12 07:43:37.045944,0 days 00:00:54.726239,0.11737573918613242,0.9708122595617912,0.001664722727125466,535,COMPLETE
11,-0.5,2023-12-12 07:43:37.054082,2023-12-12 07:44:31.756859,0 days 00:00:54.702777,0.10553000742387847,0.9611965938271141,0.00020574196905744722,730,COMPLETE
12,-0.6,2023-12-12 07:44:31.765909,2023-12-12 07:45:28.230057,0 days 00:00:56.464148,0.24171644001369325,0.9439852402443784,0.0011723949883163415,1324,COMPLETE
13,-0.4,2023-12-12 07:45:28.238058,2023-12-12 07:46:22.675311,0 days 00:00:54.437253,0.3448071884021831,0.973393233539695,8.472644457094453e-05,1236,COMPLETE
14,-0.6,2023-12-12 07:46:22.683385,2023-12-12 07:47:17.547844,0 days 00:00:54.864459,0.10232371987937763,0.9334835834996855,2.6857642481132173e-05,764,COMPLETE
15,-0.7,2023-12-12 07:47:17.554845,2023-12-12 07:48:12.265687,0 days 00:00:54.710842,0.22730967322491974,0.9027224423249558,0.0006629149092619429,1210,COMPLETE
16,-0.4,2023-12-12 07:48:12.273690,2023-12-12 07:49:06.761615,0 days 00:00:54.487925,0.2155512958468223,0.9603789846024813,0.0002187694135339049,771,COMPLETE
17,-0.3,2023-12-12 07:49:06.769618,2023-12-12 07:50:01.599762,0 days 00:00:54.830144,0.14911348482196227,0.9527922799045468,0.0008227765033059008,944,COMPLETE
18,-0.2,2023-12-12 07:50:01.607764,2023-12-12 07:50:56.090455,0 days 00:00:54.482691,0.13911763014108955,0.9755548289323351,0.00013748517592458045,1941,COMPLETE
19,-0.6,2023-12-12 07:50:56.099458,2023-12-12 07:51:50.802424,0 days 00:00:54.702966,0.3310652427439748,0.9376226058631483,0.00029852316571567456,1098,COMPLETE
20,-0.5,2023-12-12 07:51:50.811427,2023-12-12 07:52:45.363206,0 days 00:00:54.551779,0.20239352479487968,0.9490573112859936,0.001333972062020333,1420,COMPLETE
21,-0.3,2023-12-12 07:52:45.372208,2023-12-12 07:53:39.925568,0 days 00:00:54.553360,0.23522679252826695,0.9011770200177137,0.0005403317573581528,1227,COMPLETE
22,-0.2,2023-12-12 07:53:39.932746,2023-12-12 07:54:34.423917,0 days 00:00:54.491171,0.14575804873596515,0.931413611360248,0.0006419591548037002,836,COMPLETE
23,-0.6,2023-12-12 07:54:34.432919,2023-12-12 07:55:29.825965,0 days 00:00:55.393046,0.2396694366724539,0.9021682345855504,0.002460975363655723,649,COMPLETE
24,-0.4,2023-12-12 07:55:29.834115,2023-12-12 07:56:24.373622,0 days 00:00:54.539507,0.19315506019085557,0.945571665246567,0.00032245778501396015,1125,COMPLETE
25,-0.6,2023-12-12 07:56:24.380627,2023-12-12 07:57:18.849014,0 days 00:00:54.468387,0.12729464085194672,0.9293903506160287,0.0007142800232432172,1364,COMPLETE
26,-0.5,2023-12-12 07:57:18.857030,2023-12-12 07:58:13.273581,0 days 00:00:54.416551,0.16102802575370329,0.962019994957562,0.00012192016553835975,894,COMPLETE
27,-0.6,2023-12-12 07:58:13.281582,2023-12-12 07:59:07.975699,0 days 00:00:54.694117,0.21176149072511488,0.9360793171053958,0.00024983574948868656,1172,COMPLETE
28,-0.2,2023-12-12 07:59:07.982762,2023-12-12 08:00:02.737068,0 days 00:00:54.754306,0.13190279491588314,0.9418889537828677,0.0004141716355170173,620,COMPLETE
29,-0.3,2023-12-12 08:00:02.747120,2023-12-12 08:00:57.628746,0 days 00:00:54.881626,0.18546919345374904,0.927037143653547,0.0004543518594564373,1564,COMPLETE
30,-0.5,2023-12-12 08:00:57.644753,2023-12-12 08:01:52.355897,0 days 00:00:54.711144,0.1889566672022583,0.9229315160840156,0.00018245762293169287,1479,COMPLETE
31,-0.4,2023-12-12 08:01:52.363902,2023-12-12 08:02:47.111278,0 days 00:00:54.747376,0.17476667422366704,0.9096122907642563,6.666475130471967e-05,1019,COMPLETE
32,-0.6,2023-12-12 08:02:47.119454,2023-12-12 08:03:41.731542,0 days 00:00:54.612088,0.21958936950572244,0.9212017377962058,4.939445866506001e-05,993,COMPLETE
33,-0.5,2023-12-12 08:03:41.738544,2023-12-12 08:04:36.577395,0 days 00:00:54.838851,0.12798978081139023,0.9156616965346045,0.00010905641474927893,848,COMPLETE
34,-0.5,2023-12-12 08:04:36.595518,2023-12-12 08:05:31.991731,0 days 00:00:55.396213,0.25842269929494366,0.9070465560371294,3.978203648060864e-05,693,COMPLETE
35,-0.4,2023-12-12 08:05:31.999834,2023-12-12 08:06:26.596046,0 days 00:00:54.596212,0.17626884145366323,0.9175000366516055,8.055510252878835e-05,1082,COMPLETE
36,-0.4,2023-12-12 08:06:26.604420,2023-12-12 08:07:21.089235,0 days 00:00:54.484815,0.1591710776842232,0.9093481129074298,0.0001061338063898879,938,COMPLETE
37,-0.5,2023-12-12 08:07:21.097236,2023-12-12 08:08:16.152042,0 days 00:00:55.054806,0.20063398816547495,0.9224696583335407,0.0001782878298413789,1298,COMPLETE
38,-0.1,2023-12-12 08:08:16.159349,2023-12-12 08:09:10.614277,0 days 00:00:54.454928,0.2675327631104343,0.9005186259113825,0.0002811980666825865,503,COMPLETE
39,-0.2,2023-12-12 08:09:10.622278,2023-12-12 08:10:05.291372,0 days 00:00:54.669094,0.16771619446068475,0.938606944378553,2.5809368943492537e-05,823,COMPLETE
40,-0.0,2023-12-12 08:10:05.298503,2023-12-12 08:11:00.119730,0 days 00:00:54.821227,0.1197078027727765,0.9287214312778781,1.2921202350199688e-05,1153,COMPLETE
41,-0.6,2023-12-12 08:11:00.127731,2023-12-12 08:11:54.948186,0 days 00:00:54.820455,0.23509544768140234,0.9451332141592689,0.0012179304325158453,1308,COMPLETE
42,-0.5,2023-12-12 08:11:54.954187,2023-12-12 08:12:49.491164,0 days 00:00:54.536977,0.2516255364860688,0.9803967679910927,0.0009051163755844368,1630,COMPLETE
