number,value,datetime_start,datetime_complete,duration,params_exploration_fraction,params_gamma,params_learning_rate,params_target_update_interval,state
0,200.0,2023-12-12 15:39:22.251599,2023-12-12 15:40:19.086875,0 days 00:00:56.835276,0.23927113940339984,0.9473966466557636,0.00234838078769683,1823,COMPLETE
1,200.0,2023-12-12 15:40:19.094947,2023-12-12 15:41:13.415779,0 days 00:00:54.320832,0.2784944143696906,0.9481261507437527,0.0006958634520854786,1015,COMPLETE
2,157.1,2023-12-12 15:41:13.424770,2023-12-12 15:42:07.843969,0 days 00:00:54.419199,0.38558575650089555,0.9917458848024286,0.00020339494505414697,1781,COMPLETE
3,200.0,2023-12-12 15:42:07.851974,2023-12-12 15:43:02.165142,0 days 00:00:54.313168,0.383560208156961,0.9951817083639363,1.564403298677232e-05,1205,COMPLETE
4,200.0,2023-12-12 15:43:02.174142,2023-12-12 15:43:56.466108,0 days 00:00:54.291966,0.31915092774372994,0.9540296536068368,0.0029854203570451204,1864,COMPLETE
5,199.6,2023-12-12 15:43:56.473110,2023-12-12 15:44:50.814582,0 days 00:00:54.341472,0.33511472782409824,0.9647674175524928,0.00024025589256584075,1358,COMPLETE
6,200.0,2023-12-12 15:44:50.821572,2023-12-12 15:45:46.516118,0 days 00:00:55.694546,0.4836956987808233,0.9001160649388721,0.001516546081913206,1485,COMPLETE
7,200.0,2023-12-12 15:45:46.523123,2023-12-12 15:46:41.435266,0 days 00:00:54.912143,0.3381587006782487,0.9421855911663829,0.00849355781025752,603,COMPLETE
8,200.0,2023-12-12 15:46:41.442257,2023-12-12 15:47:35.957121,0 days 00:00:54.514864,0.44858557630557183,0.9458229774538522,0.00024290396119798957,807,COMPLETE
9,200.0,2023-12-12 15:47:35.965112,2023-12-12 15:48:30.097613,0 days 00:00:54.132501,0.25230620769338696,0.9456112032497073,0.002447640406101313,1642,COMPLETE
10,200.0,2023-12-12 15:48:30.104604,2023-12-12 15:49:24.823322,0 days 00:00:54.718718,0.11432228153273535,0.9994082992645114,6.0839065170749485e-05,1968,COMPLETE
11,200.0,2023-12-12 15:49:24.832314,2023-12-12 15:50:19.004963,0 days 00:00:54.172649,0.41228398517061504,0.9819270775312011,0.00015667540470619477,1513,COMPLETE
12,200.0,2023-12-12 15:50:19.012965,2023-12-12 15:51:13.452557,0 days 00:00:54.439592,0.3754290127743868,0.9752877249770701,9.879278488820638e-05,1289,COMPLETE
13,200.0,2023-12-12 15:51:13.460560,2023-12-12 15:52:08.242393,0 days 00:00:54.781833,0.4318420048718542,0.9717586380563505,0.0004928361678151679,1640,COMPLETE
14,200.0,2023-12-12 15:52:08.249396,2023-12-12 15:53:02.815926,0 days 00:00:54.566530,0.4950579458691183,0.978689524982401,5.3072517333356264e-05,1229,COMPLETE
15,200.0,2023-12-12 15:53:02.822929,2023-12-12 15:53:57.180535,0 days 00:00:54.357606,0.35119737290497255,0.9635014848198871,0.0003124362179199203,1008,COMPLETE
16,200.0,2023-12-12 15:53:57.188526,2023-12-12 15:54:51.390267,0 days 00:00:54.201741,0.3051562382649093,0.9846452248140787,0.0005806623450543194,1428,COMPLETE
17,200.0,2023-12-12 15:54:51.397259,2023-12-12 15:55:46.521980,0 days 00:00:55.124721,0.39293422393223976,0.9640206918021802,0.00015907372992935033,1707,COMPLETE
18,200.0,2023-12-12 15:55:46.530479,2023-12-12 15:56:40.995604,0 days 00:00:54.465125,0.35384320895938737,0.9901890616781387,1.9724170816753194e-05,1991,COMPLETE
19,200.0,2023-12-12 15:56:41.002595,2023-12-12 15:57:35.326963,0 days 00:00:54.324368,0.44366826809919424,0.9992606165156172,3.872198016811303e-05,1075,COMPLETE
20,200.0,2023-12-12 15:57:35.334967,2023-12-12 15:58:30.132166,0 days 00:00:54.797199,0.4075068045152366,0.98821135040327,1.0185695166542494e-05,1334,COMPLETE
21,200.0,2023-12-12 15:58:30.139158,2023-12-12 15:59:24.464965,0 days 00:00:54.325807,0.25184067380421765,0.9328128422578877,0.0010821800847393205,1805,COMPLETE
22,200.0,2023-12-12 15:59:24.472956,2023-12-12 16:00:18.825424,0 days 00:00:54.352468,0.21012699884918767,0.9684540953456159,0.00036087823796892736,1784,COMPLETE
23,200.0,2023-12-12 16:00:18.834426,2023-12-12 16:01:12.945029,0 days 00:00:54.110603,0.311105206889295,0.954849433155991,0.00017397260614129527,1597,COMPLETE
24,200.0,2023-12-12 16:01:12.952020,2023-12-12 16:02:07.545630,0 days 00:00:54.593610,0.3581160133871213,0.979193867945675,0.00028465891963760085,1795,COMPLETE
25,200.0,2023-12-12 16:02:07.553632,2023-12-12 16:03:01.788689,0 days 00:00:54.235057,0.20778595837791125,0.9622521931922893,0.0008693198814552228,1904,COMPLETE
26,200.0,2023-12-12 16:03:01.797200,2023-12-12 16:03:56.208463,0 days 00:00:54.411263,0.2872112076063478,0.9873521979293403,0.00048416969398934186,1396,COMPLETE
27,200.0,2023-12-12 16:03:56.215455,2023-12-12 16:04:50.840802,0 days 00:00:54.625347,0.3406280738291844,0.9721494892601643,0.0001237908358301078,1549,COMPLETE
28,200.0,2023-12-12 16:04:50.848794,2023-12-12 16:05:45.679515,0 days 00:00:54.830721,0.3743717437079114,0.9350852229399254,0.00023930731707519611,1708,COMPLETE
29,200.0,2023-12-12 16:05:45.686516,2023-12-12 16:06:39.938618,0 days 00:00:54.252102,0.2805322888130346,0.9575600430488463,0.000764304967090967,886,COMPLETE
30,200.0,2023-12-12 16:06:39.945619,2023-12-12 16:07:34.590348,0 days 00:00:54.644729,0.3258787662583045,0.9939588617555853,9.421071882985921e-05,552,COMPLETE
31,200.0,2023-12-12 16:07:34.597348,2023-12-12 16:08:28.693802,0 days 00:00:54.096454,0.2870848666034731,0.9509616566381496,0.00042134246920329336,1118,COMPLETE
32,200.0,2023-12-12 16:08:28.700804,2023-12-12 16:09:23.123505,0 days 00:00:54.422701,0.32557058408318573,0.9551926414864114,0.0014205697982980613,887,COMPLETE
33,200.0,2023-12-12 16:09:23.132496,2023-12-12 16:10:17.648312,0 days 00:00:54.515816,0.37236210107342615,0.9666440699608254,0.0007537866532890368,722,COMPLETE
34,200.0,2023-12-12 16:10:17.655303,2023-12-12 16:11:12.425650,0 days 00:00:54.770347,0.25804368332628685,0.9407750771483928,0.002337243817692688,1133,COMPLETE
